word,def,sentiment,
To Disfo'rest.,To reduce land from the privileges of a forest to the state of common land.,,
To Disfra'nchise.,To deprive of privileges or immunities.,,
Disfranchi'sement.,The act of depriving of privileges.,,
To Disfu'rnish.,To deprive; to unfurnish; to strip.,,
To Disga'rnish.,To strip of ornaments. 2. To take guns from a fortress.,,
To Disglo'rify.,To deprive of glory; to treat with indignity.,,
To Disgo'rge.,1. To discharge by the mouth; to spew out; to vomit. 2. To pour out with violence.,,
Disgra'ce.,1. Shame; ignominy; dishonour. 2. State of dishonour. 3. State of being out of favour.,,
To Disgra'ce.,1. To bring a reproach upon; to dishonour. 2. To put out of favour:,,
Disgra'ceful.,Shameful; ignominious; reproachful.,,
Disgra'cefully.,In disgrace; with indignity; ignominiously.,,
Disgra'cefulness.,Ignominy.,,
Disgra'cer.,One that exposes to shame; one that causes ignominy.,,
Disgra'cious.,Unkind; unfavourable.,,
To Disgui'se.,1. To conceal by an unusual dress. 2. To hide by a counterfeit appearance; to cloak by a false show; 3. To disfigure; to change the form. 4. To deform by liquor:,,
Disgui'se.,1. A dress contrived to conceal the person that wears it. 2. A false appearance; counterfeit show.,,
Disgui'sement.,Dress of concealment.,,
Disgui'ser.,1. One that puts on a disguise. 2. One that conceals another by a disguise; one that disfigures.,,
DISGU'ST.,1. Aversion of the palate from any thing. 2. Ill-humour; malevolence; offence conceived.,,
To Disgu'st.,1. To raise aversion in the stomach; to distaste. 2. To strike with dislike; to offend. 3. To produce aversion:,,
Disgu'stful.,Nauseous; that which causes aversion.,,
DISH.,"1. A broad wide vessel, in which solid food is served up at the table. 2. A deep hollow vessel for liquid food. 3. The meat served in a dish; any particular kind of food.",,
To Dish.,To serve in a dish; to send up to table.,,
Dish-clout.,The cloath with which the maids rub their dishes.,,
DISHABI'LLE.,Undressed; loosely or negligently dressed.,,
Dishabi'lle.,Undress; loose dress.,,
To Disha'bit.,To throw out of place; to drive from their habitation.,,
Disha'rmony.,Contrary to harmony.,,
To Dishea'rten.,1. To discourage; to deject; to terrify; to depress.,,
Dishe'rison.,The act of debarring from inheritance.,,
To Dishe'rit.,To cut off from hereditary succession; to debar from an inheritance.,,
To Dishe'vel.,To spread the hair disorderly; to throw the hair of a woman negligently about her head.,,
Di'shing.,Concave;,,
Disho'nest.,1. Void of probity; void of faith; faithless; wicked; fraudulent. 2. Disgraced; dishonoured. 3. Disgraceful; ignominious.,,
Disho'nestly.,1. Without faith; without probity; faithlesly; wickedly. 2. Lewdly; wantonly; unchastely.,,
Disho'nesty.,1. Want of probity; faithlessness; violation of trust. 2. Unchastity; incontinence; lewdness.,,
Disho'nour.,1. Reproach; disgrace; ignominy. 2. Reproach uttered; censure; report of infamy.,,
To Disho'nour.,1. To disgrace; to bring shame upon; to blast with infamy. 2. To violate chastity. 3. To treat with indignity.,,
Disho'nourable.,"1. Shameful, reproachful; ignominious. 2. In a state of neglect or disesteem.",,
Disho'nourer.,1. One that treats another with indignity. 2. A violator of chastity.,,
To Disho'rn.,To strip of horns.,,
Dishu'mour.,Peevishness; ill humour; uneasy state of mind.,,
Disimpro'vement.,Reduction from a better to a worse state; the contrary to melioration; contrary to improvement.,,
To Disinca'rcerate.,To set at liberty; to free from prison.,,
Disinclina'tion.,"Want of affection; slight, dislike; ill will not heightened to aversion.",,
To Disincli'ne.,To produce dislike to; to make disaffected; to alienate affection from.,,
Disingenu'ity.,Meanness of artifice; unfairness.,,
Disinge'nuous.,Unfair; meanly artful; viciously subtle; sly; cunning; illiberal; unbecoming a gentleman; crafty.,,
Disinge'nuously.,In a disingenuous manner.,,
Disinge'nuousness.,Mean subtility; unfairness; low craft.,,
To Disinhe'rit.,To cut off from an hereditary right; to deprive of an inheritance.,,
To Disinte'r.,To unbury; to take out of the grave.,,
Disintere'ssed.,Without regard to private advantage; not biassed by particular views; impartial.,,
Disintere'ssment.,Disregard to private advantage; disinterest; disinterestedness.,,
Disi'nterest.,1. What is contrary to one's wish or prosperity; that which any one is concerned to prevent. 2. Indifference to profit; superiority to regards of private advantage.,,
Disi'interested.,Superior to regard of private advantage; not influenced by private profit. 3. 2. Without any concern in an affair; without fear or hope.,,
Disintere'stedly.,In a disinterested manner.,,
Disintere'stedness.,Contempt of private interest; neglect of personal profit.,,
To Disi'ntricate.,To disintangle.,,
To Disinvi'te.,To retract an invitation.,,
To Disjo'in.,To separate; to part from each other; to disunite; to sunder.,,
To Disjo'int.,1. To put out of joint. 2. To break at junctures; to separate at the part where there is a cement. 3. To break in pieces; to dilaniate. 4. To carve a fowl. 5. To make incoherent; to break the relation between the parts.,,
To Disjoi'nt.,To fall in pieces.,,
Disjoi'nt.,Separated; divided.,,
Disjudica'tion.,Judgment; determination;,,
Disju'nct.,Disjoined; separate.,,
Disju'nction.,Disunion; separation; parting.,,
Disju'nctive.,"1. Incapable of union. 2. That which marks separation or opposition; A disjunctive proposition is when the parts are opposed to one another by disjunctive particles; as, It is either day or night: The weather is either shiny or rainy: Quantity is either length, breadth, or depth. The truth of disjunctives depends on the necessary and immediate opposition of the parts, therefore only the last of these examples is true; but the two first are not strictly true, because twilight is a medium between day and night; and dry cloudy weather is a medium between shining and raining.",,
Disju'nctively.,Distinctly; separately.,,
DISK.,"1. The face of the sun, or any other planet, as it appears to the eye. 2. A broad piece of iron thrown in the antient sports; a quoit.",,
Diski'ndness.,Want of kindness; want of affection; want of benevolence. 2. Ill turn; injury; act of malignity; detriment.,,
Disli'ke.,1. Disinclination; absence of affection; the contrary to fondness. 2. Discord; dissention; disagreement.,,
To Disli'ke.,To disapprove; to regard without affection; to regard with ill-will or disgust.,,
Disli'keful.,Disaffected; malign.,,
To Disli'ken.,To make unlike.,,
Disli'keness.,Dissimilitude; not resemblance; unlikeness.,,
Disli'ker.,A disapprover; one that is not pleased.,,
To Disli'mb.,To dilaniate; to tear limb from limb.,,
To Disli'mn.,To unpaint; to strike out of a picture.,,
To Di'slocate.,1. To put out of the proper place. 2. To put out of joint; to disjoint.,,
Disloca'tion.,1. The act of shifting the places of things. 2. The state of being displaced. 3. A luxation; a violent pressure of a bone out of the socket; a joint put out.,,
To Dislo'dge.,1. To remove from a place. 2. To remove from an habitation. 3. To drive an enemy from a station. 4. To remove an army to other quarters.,,
To Dislo'dge.,To go away to another place.,,
Dislo'yal.,1. Not true to allegiance; faithless; false to a sovereign; disobedient. 2. Dishonest; perfidious. 3. Not true to the marriage-bed. 4. False in love; not constant.,,
Dislo'yally.,Not faithfully; treacherously; disobediently.,,
Dislo'yalty.,1. Want of fidelity to the sovereign. 2. Want of fidelity in love.,,
DI'SMAL.,Sorrowful; dire; horrid; melancholy; uncomfortable; unhappy; dark.,,
Di'smally.,Horribly; sorrowfully; uncomfortably.,,
Di'smalness.,Horror; sorrow.,,
To Disma'ntle.,1. To throw off a dress; to strip. 2. To loose; to unfold; to throw open. 3. To strip a town of its outworks. 4. To break down any thing external.,,
To Disma'sk.,To divest of a mask; to uncover from concealment.,,
To DISMA'Y.,To terrify; to discourage; to affright; to depress; to deject.,,
Disma'y.,Fall of courage; terrour felt; desertion of mind; fear impressed.,,
Disma'yedness.,Dejection of courage; dispiritedness.,,
DI'SME.,A tenth; the tenth part; tythe.,,
To Disme'mber.,To divide member from member; to dilacerate; to cut in pieces.,,
To DISMI'SS.,1. To send away. 2. To give leave of departure. 3. To discard; to divest of an office.,,
Dismi'ssion.,1. Dispatch; act of sending away. 2. An honourable discharge from any office or place. 3. Deprivation; obligation to leave any post or place.,,
To Dismo'rtgage.,To redeem from mortgage.,,
To Dismo'unt.,1. To throw off an horse. 2. To throw from any elevation or place of honour. 3. To throw cannon from its carriage.,,
To Dismo'unt.,1. To alight from an horse. 2. To descend from any elevation.,,
To Disna'turalise. To Disna'turalize.,To alienate; to make alien; to deprive of the privileges of birth.,,
Disna'tured.,Unnatural; wanting natural tenderness; devoid of natural affection.,,
Disobe'dience.,1. Violation of lawful commands or prohibition; breach of duty due to superiours. 2. Incompliance.,,
Disobe'dient.,Not observant of lawful authority; guilty of the breach of lawful commands or prohibition.,,
To Disobe'y.,To break commands or transgress prohibitions.,,
Disobliga'tion.,Offence; cause of disgust.,,
To DISOBLI'GE.,To offend; to disgust; to give offence to.,,
Disobli'ging.,Disgusting; unpleasing; offensive.,,
Disobli'gingly.,In a disgusting or offensive manner; without attention to please.,,
Disobli'gingness.,Offensiveness; readiness to disgust.,,
Diso'rbed.,Thrown out of the proper orbit.,,
Diso'rder.,1. Want of regular disposition; irregularity; confusion; immethodical distribution. 2. Tumult; disturbance; bustle. 3. Neglect of rule; irregularity. 4. Breach of laws; violation of standing institution. 5. Breach of that regularity in the animal œconomy which causes health; sickness; distemper. 6. Discomposure of mind; turbulence of passions.,,
To Diso'rder.,1. To throw into confusion; to confound; to put out of method; to disturb; to ruffle; to confuse. 2. To make sick; to disturb the body. 3. To discompose; to disturb the mind.,,
Diso'rdered.,Disorderly; irregular; vicious; loose; unrestrained in behaviour; debauched.,,
Diso'rderedness.,Irregularity; want of order; confusion.,,
Diso'rderly.,1. Confused; immethodical; without proper distribution. 2. Irregular; tumultuous. 3. Lawless; contrary to law; inordinate; contrary to the rules of life; vicious.,,
Diso'rderly.,1. Without rule; without method; irregularly; confusedly. 2. Without law; inordinately.,,
Diso'rdinate.,Not living by the rules of virtue; inordinate.,,
Diso'rdinately.,Inordinately; viciously.,,
Diso'rientated.,Turned from the East; turned from the right direction; thrown out of the proper place.,,
To Diso'wn.,1. To deny; not to allow. 2. To abrogate; to renounce.,,
To DISPA'ND.,To display; to spread abroad.,,
Dispa'nsion.,The act of displaying; the act of spreading; diffusion; dilatation.,,
To DISPA'RAGE.,1. To match unequally; to injure by union with something inferiour in excellence. 2. To injure by a comparison with something of less value. 3. To treat with contempt; to mock; to flout; to reproach. 4. To bring reproach upon; to be the cause of disgrace. 5. To marry any one to another of inferiour condition.,,
Dispa'ragement.,"1. Injurious union or comparison with something of inferior excellence. Matching an heir in marriage under his or her degree, or against decency. 3. Reproach; disgrace; indignity.",,
Dispa'rager.,One that disgraces; one that treats with indignity.,,
Dispara'tes.,Things so unlike that they cannot be compared with each other.,,
Dispa'rity.,1. Inequality; difference in degree either of rank or excellence. 2. Dissimilitude; unlikeness.,,
To Dispa'rk.,1. To throw open a park. 2. To set at large without enclosure.,,
To Dispa'rt.,To divide in two; to separate; to break; to burst; to rive.,,
Dispa'ssion.,Freedom from mental perturbation; exemption from passion.,,
Dispa'ssionate.,Cool; calm; impartial; moderate; temperate.,,
To Dispe'l.,To drive by scattering; to dissipate.,,
Dispe'nce.,Expence; cost; charge.,,
To DISPE'ND.,To spend; to consume; to expend.,,
Dispe'nsary.,The place where medicines are dispensed.,,
Dispensa'tion.,1. Distribution; the act of dealing out any thing. 2. The dealing of God with his creatures; method of providence; distribution of good and evil. 3. An exemption from some law; a permission to do something forbidden; an allowance to omit something commanded.,,
Dispensa'tor.,One employed in dealing out any thing; a distributer.,,
Dispe'nsatory.,A book in which the composition of medicines is described and directed; in the Greek a Pharmacopeia.,,
To DISPE'NSE. To Dispense with. To Dispense with. To Dispense with.,"1. To deal out; to distribute. 2. To make up a medicine. To excuse; to grant dispensation for; to allow. To clear from; to set free from an obligation. To obtain a dispensation from; to come to agreement with. This structure is irregular, unless it be here supposed to mean, as it may, to discount; to pay an equivalent.",,
Dispe'nse.,Dispensation; exemption.,,
Dispe'nser.,One that dispenses; one that deals out any thing; a distributer.,,
To Dispe'ople.,To depopulate; to empty of people.,,
Dispe'opler.,A depopulator; a waster.,,
To Dispe'rge.,To sprinkle; to scatter.,,
To DISPE'RSE.,1. To scatter; to drive to different parts. 2. To dissipate.,,
Dispe'rsedly.,In a dispersed manner; separately.,,
Dispe'rsedness.,The state of being dispersed; dispersion.,,
Dispe'rseness.,Thinness; scatteredness.,,
Dispe'rser.,A scatterer; a spreader.,,
Dispe'rsion.,1. The act of scattering or spreading. 2. The state of being scattered.,,
To Dispi'rit.,1. To discourage; to deject; to depress; to damp; to terrify; to intimidate; to fright; to strike with fear. 2. To exhaust the spirits; to oppress the constitution of the body.,,
Dispi'ritedness.,Want of vigour; want of vivacity.,,
To Displa'ce.,"1. To put out of place; to place in another situation. 2. To put out of any state, condition, office, trust, or dignity. 2. 3. To disorder.",,
Displa'cency.,1. Incivility; disobligation. 2. Disgust; any thing unpleasing.,,
To DISPLA'Y.,1. To spread wide. 2. To exhibit to the sight or mind. 3. To carve; to cut up. 4. To talk without restraint. 5. To set ostentatiously to view.,,
Displa'y.,An exhibition of any thing to view.,,
Disple'asance.,Anger; discontent.,,
Displea'sant.,Unpleasing; offensive; unpleasant.,,
To Disple'ase.,1. To offend; to make angry. 2. To disgust; to raise aversion.,,
Disple'asingness.,Offensiveness; quality of offending.,,
Disple'asure.,1. Uneasiness; pain received. 2. Offence; pain given. 3. Anger; indignation. 4. State of disgrace; state in which one does obtain discountenance; disfavour.,,
To Disple'asure.,To displease; not to gain favour; not to win affection.,,
To DISPLO'DE.,To disperse with a loud noise; to vent with violence.,,
Displo'sion.,The act of disploding; a sudden burst or dispersion with noise and violence.,,
Dispo'rt.,Play; sport; pastime; diversion; amusement; merriment.,,
To Dispo'rt.,To divert.,,
To Dispo'rt.,To play; to toy; to wanton.,,
Dispo'sal.,1. The act of disposing or regulating any thing; regulation; dispensation; distribution. 2. The power of distribution; the right of bestowing. 3. Government; management; conduct.,,
To DISPO'SE. To Dispose of. To Dispose of. To Dispose of. To Dispose of. To Dispose of. To Dispose of.,1. To employ to various purposes; to diffuse. 2. To give; to place; to bestow. 3. To turn to any particular end or consequence. 4. To adapt; to form for any purpose. 5. To frame the mind; to give a proper propension; to incline. 6. To regulate; to adjust. To apply to any purpose; to transfer to any other person or use. To put into the hands of another. To give away. To employ to any end. To place in any condition. To put away by any means.,,
To Dispo'se.,To bargain; to make terms.,,
Dispo'se.,1. Power; management; disposal. 2. Distribution; act of government. 3. Disposition; cast of behaviour. 4. Disposition; cast of mind; inclination.,,
Dispo'ser.,1. Distributer; giver; bestower. 2. Governor; regulator; director. 3. One who gives to whom he pleases.,,
Dispo'sition.,1. Order; method; distribution. 2. Natural fitness; quality. 3. Tendency to any act or state. 4. Temper of mind. 5. Affection of kindness or ill-will. 6. Predominant inclination.,,
Dispo'sitive.,That which implies disposal of any property; decretive.,,
Dispo'sitively.,1. In a dispositive manner. 2. Respecting individuals; distributively.,,
Dispo'sitor.,"The lord of that sign in which the planet is, and by which therefore it is over-ruled.",,
To Disposse'ss.,1. To put out of possession; to deprive; to disseize.,,
Dispo'sure.,1. Disposal; government; power; management. 2. State; posture.,,
Dispra'ise.,Blame; censure; dishonour.,,
To Dispra'ise.,To blame; to censure; to condemn.,,
Dispra'iser.,A censurer; one who blames.,,
Dispra'isible.,Unworthy of commendation.,,
Dispra'isingly.,With blame; with censure.,,
To Dispre'ad.,To spread different ways.,,
Dispro'fit.,Loss; damage; detriment.,,
Dispro'of.,Confutation; conviction of errour or falshood.,,
To Dispro'perty.,To dispossess of any property.,,
Dispropo'rtion.,"Unsuitableness in quantity of one thing, or one part of the same thing, to another; want of symmetry.",,
To Dispropo'rtion.,To mismatch; to join things unsuitable in quantity.,,
Dispropo'rtionable.,Unsuitable in quantity; not duly regulated in regard to something else.,,
Dispropo'rtionableness.,Unsuitableness to something else.,,
Dispropo'rtionably.,Unsuitably; not symmetrically.,,
Dispropo'rtional.,Disproportionable; unsymmetrical; unsuitable in quantity to something else.,,
Dispropo'rtionally.,Unsuitably with respect to quantity or value.,,
Dispropo'rtionate.,Unsymmetrical; unsuitable to something else either in bulk or value.,,
Dispropo'rtionately.,Unsuitably; unsymmetrically.,,
Dispropo'rtionateness.,Unsuitableness in bulk or value.,,
To Dispro've.,1. To confute an assertion; to convict of errour or falshood. 2. To convict a practice of errour.,,
Dispro'ver.,"1. One that disproves or confutes. 2. One that blames; a censurer,",,
Dispu'nishable.,Without penal restraint.,,
To Dispu'rse.,To pay; to disburse.,,
Dispu'table.,1. Liable to contest; controvertible; that for which something may be alleged on opposite sides. 2. Lawful to be contested.,,
Di'sputant.,A controvertist; an arguer; a reasoner.,,
Di'sputant.,Disputing; engaged in controversy.,,
Disputa'tion.,1. The skill of controversy; argumentation. 2. Controversy; argumental contest.,,
Disputa'tious.,Inclined to dispute; cavilling.,,
Dispu'tative.,Disposed to debate; argumentative.,,
To DISPU'TE.,To contend by argument; to altercate; to debate; to argue; to controvert.,,
To Dispu'te.,"1. To contend for, whether by words or action. 2. To oppose; to question. 3. To discuss; to think on:",,
Dispu'te.,Contest; controversy; argumental contention.,,
Dispu'teless.,Undisputed; uncontrovertible.,,
Dispu'ter.,A controvertist; one given to argument and opposition.,,
Disqualifica'tion.,That which disqualifies; that which makes unfit.,,
To Disqua'lify.,1. To make unfit; to disable by some natural or legal impediment. 2. To deprive a right or claim by some positive restriction; to disable; to except from any grant.,,
To Disqua'ntity.,To lessen; to diminish.,,
Disqui'et.,Uneasiness; restlessness; want of tranquillity; vexation; disturbance; anxiety.,,
Disqui'et.,Unquiet; uneasy; restless.,,
To Disqui'et.,To disturb; to make uneasy; to harrass; to vex; to fret; to deprive of tranquillity.,,
Disqui'eter.,A disturber; a harrasser.,,
Disqui'etly.,Without rest; anxiously; uneasily; without calmness.,,
Disqui'etness.,Uneasiness; restlessness; anxiety; disturbance.,,
Disqui'etude.,Uneasiness; anxiety; disturbance; want of tranquillity.,,
Disquisi'tion.,Examination; disputative enquiry.,,
To Disra'nk.,To degrade from his rank.,,
Disrega'rd.,Slight notice; neglect; contempt.,,
To Disrega'rd.,To slight; to neglect; to contemn.,,
Disrega'rdful.,Negligent; contemptuous.,,
Disrega'rdfully.,Negligently; contemptuously.,,
Disre'lish.,1. Bad taste; nauseousness. 2. Dislike of the palate; squeamishness.,,
To Disre'lish.,1. To make nauseous; to infect with an unpleasant taste. 2. To want a taste of; to dislike.,,
Disreputa'tion.,1. Disgrace; dishonour. 2. Loss of reputation; ignominy.,,
Disrepu'te.,Ill character; dishonour; want of reputation.,,
Disrespe'ct.,Incivility; want of reverence; irreverence; an act approaching to rudeness.,,
Disrespe'ctful.,Irreverent; uncivil.,,
Disrespe'ctfully.,Irreverently; uncivilly.,,
To Disro'be.,To undress; to uncover; to strip.,,
Disru'ption.,The act of breaking asunder; a breach; rent; dilaceration.,,
Dissa'tisfaction.,The state of being dissatisfied; discontent; want of something to compleat the wish.,,
Dissa'tisfactoriness.,Inability to give content.,,
Dissatisfa'ctory.,That which is unable to give content.,,
To Dissa'tisfy.,1. To discontent; to displease. 2. To fail to please; to want something requisite.,,
To DISSE'CT.,1. To cut in pieces. 2. To divide and examine minutely.,,
Disse'ction.,The act of separating the parts of animal bodies; anatomy.,,
Disse'isin.,"An unlawful dispossessing a man of his land, tenement, or other immoveable or incorporeal right.",,
To DISSE'IZE.,To dispossess; to deprive.,,
Disse'izor.,He that disposses another.,,
To DISSE'MBLE.,1. To hide under false appearance; to conceal; to pretend that not to be which really is. 2. To pretend that to be which is not.,,
To Disse'mble.,To play the hypocrite.,,
Disse'mbler.,An hypocrite; a man who conceals his true disposition.,,
Disse'mblingly.,With dissimulation; hypocritically.,,
To DISSE'MINATE.,To scatter as seed; to sow; to spread every way.,,
Disse'mination.,The act of scattering like seed; the act of sowing or spreading.,,
Dissemina'tor.,He that scatters; a scatterer; a sower; a spreader.,,
DISS'ENSION.,Disagreement; strife; discord; contention; difference; quarrel; breach of union.,,
Disse'nsious.,Disposed to discord; quarrelsome; factious; contentious.,,
To DISSE'NT.,1. To disagree in opinion; to think in a contrary manner. 2. To differ; to be of a contrary nature.,,
Disse'nt.,Disagreement; difference of opinion; declaration of difference of opinion.,,
Dissenta'neous.,Disagreeable; inconsistent; contrary.,,
Disse'nter.,"1. One that disagrees, or declares his disagreement from an opinion. 2. One who, for whatever reasons, refuses the communion of the English church.",,
Disserta'tion.,A discourse; a disquisition; a treatise.,,
To Disse'rve.,To do injury to; to mischief; to damage; to hurt; to harm.,,
Disse'rvice.,Injury; mischief; ill turn.,-2,
Disse'rviceable.,Injurious; mischievous; hurtful.,-2,
Disse'rviceableness.,Injury; harm; hurt; mischief; damage.,-2,
To Disse'ttle.,To unsettle; to unfix.,,
To Disse'ver.,To part in two; to break; to divide; to sunder; to separate; to disunite.,,
Dissi'dence.,Discord; disagreement.,,
Dissi'lience.,The act of starting asunder.,,
Dissi'lient.,Starting asunder; bursting in two.,,
Dissili'tion.,The act of bursting in two; the act of starting different ways.,,
Dissi'milar.,Unlike; heterogeneous.,,
Dissimila'rity.,Unlikeness; dissimilitude.,,
Dissimi'litude.,Unlikeness; want of resemblance.,,
Dissimula'tion.,The act of dissembling; hypocrisy; fallacious appearance; false pretensions.,,
Dissipa'ble.,Easily scattered; liable to dispersion.,,
To DI'SSIPATE.,1. To scatter every way; to disperse. 2. To scatter the attention. 3. To spend a fortune.,,
Dissipa'tion.,1. The act of dispersion. 2. The state of being dispersed. 3. Scattered attention.,,
To Disso'ciate.,To separate; to disunite; to part.,,
Dissolubi'lity.,Liableness to suffer a disunion of parts by heat or moisture; capacity of being dissolved.,,
Disso'luble.,Capable of separation of one part from another by heat or moisture.,,
DI'SSOLUTE.,Loose; wanton; unrestrained; dissolved in pleasures; luxurious; debauched.,,
Di'ssolutely.,Loosely; in debauchery; without restraint.,,
Di'ssoluteness.,Looseness; laxity of manners; debauchery.,,
Dissolu'tion.,1. The act of liquefying by heat or moisture. 2. The state of being liquefied. 3. The state of melting away; liquefaction. 4. Destruction of any thing by the separation of its parts. 5. The substance formed by dissolving any body. 6. Death; the resolution of the body into its constituent elements. 7. Destruction. 8. Breach or ruin of any thing compacted or united. 9. The act of breaking up an assembly. 10. Looseness of manners; laxity; remissness; dissipation.,,
Disso'lvable.,Capable of dissolution; liable to be melted.,,
To DISSO'LVE.,1. To destroy the form of any thing by disuniting the parts with heat or moisture; to melt; to liquefy. 2. To break; to disunite in any manner. 3. To loose; to break the ties of any thing. 4. To separate persons united. 5. To break up assemblies. 6. To solve; to clear. 7. To break an enchantment. 8. To be relaxed by pleasure.,,
To Disso'lve.,1. To be melted; to be liquefied. 2. To sink away; to fall to nothing. 3. To melt away in pleasures.,,
Disso'lvent.,Having the power of dissolving or melting.,,
Disso'lvent.,Having the power of disuniting the parts of any thing.,,
Disso'lver.,That which has the power of dissolving.,,
Disso'lvible.,Liable to perish by dissolution.,,
DI'SSONANCE.,"A mixture of harsh, unpleasing, unharmonious sounds; unsuitableness of one sound to another.",,
Di'ssonant.,1. Harsh; unharmonious. 2. Incongruous; disagreeing,,
To DISSU'ADE.,1. To dehort; to divert by reason or importunity from any thing. 2. To represent any thing as unfit or dangerous.,,
Dissu'ader.,He that dissuades.,,
Dissu'asion.,Urgency of reason or importunity against any thing; dehortation.,,
Dissu'asive.,Dehortatory; tending to divert or deter from any purpose.,,
Dissu'asive.,Dehortation; argument or importunity employed to turn the mind off from any purpose or pursuit.,,
To Dissu'nder.,To sunder; to separate.,,
Dissy'llable.,A word of two syllables.,,
Di'staff.,1. The staff from which the flax is drawn in spinning. 2. It is used as an emblem of the female sex.,,
To Dista'in.,1. To stain; to tinge with an adventitious colour. 2. To blot; to sully with infamy.,,
DI'STANCE.,"Distance is space considered barely in length between any two beings, without considering any thing else between them. 2. Remoteness in place. 3. The space kept between two antagonists in fencing. 4. Contrariety; opposition. 5. A space marked on the course where horses run. 6. Space of time. 7. Remoteness in time either past or future. 8. Ideal disjunction; mental separation. 9. Respect; distant behaviour. 10. Retraction of kindness; reserve; alienation.",,
To Di'stance.,1. To place remotely; to throw off from the view. 2. To leave behind at a race the length of a distance; to conquer in a race with great superiority.,,
Di'stant.,1. Remote in place; not near. 2. Remote in time either past or future. 3. Remote to a certain degree; 4. Reserved; sly. 5. Not primary; not obvious.,,
Dista'ste.,1. Aversion of the palate; disrelish; disgust. 2. Dislike; uneasiness. 3. Anger; alienation of affection.,,
To Dista'ste.,"1. To fill the mouth with nauseousness, or disrelish. 2. To dislike; to loath. 3. To offend; to disgust. 4. To vex; to exasperate; to sour.",,
Dista'steful.,1. Nauseous to the palate; disgusting. 2. Offensive; unpleasing. 3. Malignant; malevolent.,,
Diste'mper.,1. A disproportionate mixture of parts; want of a due temper of ingredients. 2. A disease; a malady; the peccant predominance of some humour; properly a slight illness; indisposition. 3. Want of due temperature. 4. Bad constitution of the mind; predominance of any passion or appetite. 5. Want of due ballance between contraries. 6. Ill humour of mind; depravity of inclination. 7. Tumultuous disorder. 8. Disorder; uneasiness.,,
To Diste'mper.,"1. To disease. 2. To disorder. 3. To disturb; to fill with perturbation; to ruffle. 4. To destroy temper or moderation. 5. To make disaffected, or malignant.",,
Diste'mperate.,Immoderate.,,
Diste'mperature.,"1. Intemperateness; excess of heat or cold, or other qualities. 2. Violent tumultuousness; outrageousness. 3. Perturbation of the mind. 4. Confusion; commixture of extremes; loss of regularity.",,
To DISTE'ND.,To stretch out in breadth.,,
Diste'nt.,The space through which any thing is spread; breadth.,,
Diste'ntion.,1. The act of stretching in breadth. 2. Breadth; space occupied by the thing distended. 3. The act of separating one part from another; divarication.,,
To Disthroni'ze.,To dethrone; to depose from sovereignty.,,
Di'stich.,A couplet; a couple of lines; an epigram consisting only of two verses.,,
To DISTI'L.,1. To drop; to fall by drops. 2. To flow gently and silently. 3. To use a still; to practise the act of distillation.,,
To Disti'l.,"1. To let fall in drops; to drop any thing down. 2. To force by fire through the vessels of distillation; to exalt, separate, or purify by fire. 3. To draw by distillation; to extract by the force of fire.",,
Disti'llatory.,Belonging to distillation; used in distillation.,,
Disti'ller.,1. One who practises the trade of distilling. 2. One who makes and sells pernicious and inflammatory spirits.,,
Disti'lment.,That which is drawn by distillation.,,
DISTI'NCT.,1. Different; not the same in number or in kind. 2. Different; apart; not conjunct. 3. Clear; unconfused. 4. Spotted; variegated. 5. Marked out; specified.,,
Disti'nction.,1. Note of difference. 2. Honourable note of superiority. 3. That by which one differs from another. 4. Difference regarded; preference or neglect in comparison with something else. 5. Separation of complex notions. 6. Division into different parts. 7. Notation of difference between things seemingly the same. 7. 8. Discernment; judgment.,,
Disti'nctive.,1. That which marks distinction or difference. 2. Having the power to distinguish and discern; judicious.,,
Disti'nctively.,In right order; not confusedly.,,
Disti'nctly.,1. Not confusedly; without the confusion of one part with another. 2. Plainly; clearly.,,
Disti'nctness.,1. Nice observation of the difference between different things. 2. Such separation of things as makes them easy to be separately observed.,,
To DISTI'NGUISH.,1. To note the diversity of things. 2. To separate from others by some mark of honour or preference. 3. To divide by proper notes of diversity. 4. To know one from another by any mark or note of difference. 5. To discern critically; to judge. 6. To constitute difference; to specificate; to make different from another. 7. To make known or eminent.,,
To Disti'nguish.,To make distinction; to find or shew the difference.,,
Disti'nguishable.,1. Capable of being distinguished; capable of being known or made known by notes of diversity. 2. Worthy of note; worthy of regard.,,
Disti'nguished.,Eminent; transcendent; extraordinary.,,
Disti'nguisher.,1. A judicious observer; one that accurately discerns one thing from another. 2. He that separates one thing from another by proper marks of diversity.,,
Disti'nguishingly.,With distinction; with some mark of eminent preference.,,
Disti'nguishment.,Distinction; observation of difference.,,
To DISTO'RT.,1. To writhe; to twist; to deform by irregular motions. 2. To put out of the true direction or posture. 3. To wrest from the true meaning.,,
Disto'rtion.,"Irregular motion by which the face is writhed, or the parts disordered.",,
To DISTRA'CT.,1. To pull different ways at once. 2. To separate; to divide. 3. To turn from a single direction towards various points. 4. To fill the mind with contrary considerations; to perplex; to confound; to harrass. 5. To make mad.,,
Distra'ctedly.,Madly; frantickly.,,
Distra'ctedness.,The state of being distracted; madness.,,
Distra'ction.,1. Tendency to different parts; separation. 2. Confusion; state in which the attention is called different ways. 3. Perturbation of mind; violence of some painful passion. 4. Madness; frantickness; loss of the wits. 5. Disturbance; tumult; difference of sentiments.,,
